0.10000000E+01  0.11237624E-13
0.10456357E+01  0.11239291E-13
0.10933540E+01  0.11241017E-13
0.11432499E+01  0.11242801E-13
0.11954229E+01  0.11244646E-13
0.12499768E+01  0.11246552E-13
0.13070204E+01  0.11248520E-13
0.13666671E+01  0.11250551E-13
0.14290359E+01  0.11252644E-13
0.14942509E+01  0.11254800E-13
0.15624421E+01  0.11257019E-13
0.16337452E+01  0.11259302E-13
0.17083022E+01  0.11261646E-13
0.17862617E+01  0.11264053E-13
0.18677790E+01  0.11266519E-13
0.19530164E+01  0.11269045E-13
0.20421436E+01  0.11271628E-13
0.21353382E+01  0.11274265E-13
0.22327858E+01  0.11276955E-13
0.23346805E+01  0.11279692E-13
0.24412252E+01  0.11282474E-13
0.25526322E+01  0.11285296E-13
0.26691232E+01  0.11288152E-13
0.27909305E+01  0.11291035E-13
0.29182965E+01  0.11293939E-13
0.30514749E+01  0.11296856E-13
0.31907310E+01  0.11299776E-13
0.33363422E+01  0.11302689E-13
0.34885984E+01  0.11305583E-13
0.36478030E+01  0.11308447E-13
0.38142729E+01  0.11311266E-13
0.39883398E+01  0.11314024E-13
0.41703504E+01  0.11316704E-13
0.43606672E+01  0.11319288E-13
0.45596692E+01  0.11321755E-13
0.47677528E+01  0.11324082E-13
0.49853324E+01  0.11326247E-13
0.52128414E+01  0.11328222E-13
0.54507329E+01  0.11329979E-13
0.56994808E+01  0.11331488E-13
0.59595804E+01  0.11332718E-13
0.62315499E+01  0.11333634E-13
0.65159309E+01  0.11334199E-13
0.68132898E+01  0.11334377E-13
0.71242189E+01  0.11334126E-13
0.74493374E+01  0.11333407E-13
0.77892930E+01  0.11332176E-13
0.81447626E+01  0.11330390E-13
0.85164544E+01  0.11328006E-13
0.89051085E+01  0.11324982E-13
0.93114992E+01  0.11321275E-13
0.97364357E+01  0.11316845E-13
0.10180765E+02  0.11311658E-13
0.10645371E+02  0.11305681E-13
0.11131179E+02  0.11298891E-13
0.11639158E+02  0.11291274E-13
0.12170319E+02  0.11282825E-13
0.12725720E+02  0.11273556E-13
0.13306467E+02  0.11263499E-13
0.13913716E+02  0.11252707E-13
0.14548678E+02  0.11241262E-13
0.15212617E+02  0.11229283E-13
0.15906855E+02  0.11216929E-13
0.16632775E+02  0.11204410E-13
0.17391823E+02  0.11191999E-13
0.18185510E+02  0.11179946E-13
0.19015418E+02  0.11168332E-13
0.19883200E+02  0.11157206E-13
0.20790583E+02  0.11146616E-13
0.21739375E+02  0.11136602E-13
0.22731466E+02  0.11127197E-13
0.23768832E+02  0.11118422E-13
0.24853539E+02  0.11110286E-13
0.25987747E+02  0.11102775E-13
0.27173715E+02  0.11095853E-13
0.28413806E+02  0.11089455E-13
0.29710489E+02  0.11083476E-13
0.31066348E+02  0.11077765E-13
0.32484081E+02  0.11072116E-13
0.33966514E+02  0.11066253E-13
0.35516599E+02  0.11059819E-13
0.37137423E+02  0.11052397E-13
0.38832214E+02  0.11043848E-13
0.40604349E+02  0.11034225E-13
0.42457356E+02  0.11023621E-13
0.44394926E+02  0.11012173E-13
0.46420918E+02  0.11000079E-13
0.48539368E+02  0.10987604E-13
0.50754495E+02  0.10975097E-13
0.53070711E+02  0.10963004E-13
0.55492628E+02  0.10951692E-13
0.58025072E+02  0.10941207E-13
0.60673085E+02  0.10931542E-13
0.63441942E+02  0.10922655E-13
0.66337158E+02  0.10914472E-13
0.69364499E+02  0.10906868E-13
0.72529995E+02  0.10899664E-13
0.75839950E+02  0.10892610E-13
0.79300958E+02  0.10885371E-13
0.82919910E+02  0.10877541E-13
0.86704016E+02  0.10868977E-13
0.90660813E+02  0.10859751E-13
0.94798180E+02  0.10849974E-13
0.99124359E+02  0.10839802E-13
0.10364797E+03  0.10829438E-13
0.10837801E+03  0.10819148E-13
0.11332391E+03  0.10809225E-13
0.11849553E+03  0.10799733E-13
0.12390315E+03  0.10790623E-13
0.12955756E+03  0.10781814E-13
0.13547000E+03  0.10773186E-13
0.14165227E+03  0.10764575E-13
0.14811666E+03  0.10755763E-13
0.15487607E+03  0.10746604E-13
0.16194394E+03  0.10737087E-13
0.16933436E+03  0.10727208E-13
0.17706205E+03  0.10716967E-13
0.18514240E+03  0.10706367E-13
0.19359150E+03  0.10695413E-13
0.20242617E+03  0.10684110E-13
0.21166403E+03  0.10672452E-13
0.22132346E+03  0.10660432E-13
0.23142371E+03  0.10648041E-13
0.24198488E+03  0.10635254E-13
0.25302803E+03  0.10621993E-13
0.26457513E+03  0.10608147E-13
0.27664920E+03  0.10593579E-13
0.28927427E+03  0.10578121E-13
0.30247550E+03  0.10561669E-13
0.31627917E+03  0.10544323E-13
0.33071278E+03  0.10526258E-13
0.34580508E+03  0.10507706E-13
0.36158613E+03  0.10488730E-13
0.37808736E+03  0.10469085E-13
0.39534163E+03  0.10448431E-13
0.41338331E+03  0.10426372E-13
0.43224834E+03  0.10402822E-13
0.45197428E+03  0.10377959E-13
0.47260044E+03  0.10352040E-13
0.49416788E+03  0.10325343E-13
0.51671956E+03  0.10297792E-13
0.54030041E+03  0.10269107E-13
0.56495738E+03  0.10239039E-13
0.59073959E+03  0.10207538E-13
0.61769839E+03  0.10174595E-13
0.64588748E+03  0.10140210E-13
0.67536299E+03  0.10104378E-13
0.70618363E+03  0.10067097E-13
0.73841080E+03  0.10028391E-13
0.77210867E+03  0.99883280E-14
0.80734438E+03  0.99469941E-14
0.84418808E+03  0.99042961E-14
0.88271317E+03  0.98599633E-14
0.92299639E+03  0.98137474E-14
0.96511795E+03  0.97659153E-14
0.10091618E+04  0.97168958E-14
0.10552155E+04  0.96664106E-14
0.11033710E+04  0.96138226E-14
0.11537241E+04  0.95589802E-14
0.12063751E+04  0.95025032E-14
0.12614288E+04  0.94446596E-14
0.13189950E+04  0.93847754E-14
0.13791882E+04  0.93225005E-14
0.14421284E+04  0.92582622E-14
0.15079409E+04  0.91922836E-14
0.15767568E+04  0.91240456E-14
0.16487131E+04  0.90533652E-14
0.17239533E+04  0.89804067E-14
0.18026270E+04  0.89051704E-14
0.18848911E+04  0.88275433E-14
0.19709094E+04  0.87474993E-14
0.20608532E+04  0.86649767E-14
0.21549016E+04  0.85798199E-14
0.22532420E+04  0.84920547E-14
0.23560703E+04  0.84016003E-14
0.24635911E+04  0.83079733E-14
0.25760188E+04  0.82114589E-14
0.26935771E+04  0.81125148E-14
0.28165003E+04  0.80105730E-14
0.29450332E+04  0.79057201E-14
0.30794318E+04  0.77975617E-14
0.32199637E+04  0.76857462E-14
0.33669090E+04  0.75715266E-14
0.35205601E+04  0.74543595E-14
0.36812233E+04  0.73339755E-14
0.38492184E+04  0.72105548E-14
0.40248800E+04  0.70840296E-14
0.42085582E+04  0.69547684E-14
0.44006186E+04  0.68226502E-14
0.46014438E+04  0.66877799E-14
0.48114338E+04  0.65502630E-14
0.50310068E+04  0.64101653E-14
0.52606002E+04  0.62677073E-14
0.55006712E+04  0.61228594E-14
0.57516981E+04  0.59758027E-14
0.60141807E+04  0.58267308E-14
0.62886419E+04  0.56757235E-14
0.65756283E+04  0.55230069E-14
0.68757115E+04  0.53687795E-14
0.71894893E+04  0.52133103E-14
0.75175865E+04  0.50564841E-14
0.78606566E+04  0.48986538E-14
0.82193830E+04  0.47400835E-14
0.85944801E+04  0.45809762E-14
0.89866950E+04  0.44216380E-14
0.93968089E+04  0.42624754E-14
0.98256386E+04  0.41033593E-14
0.10274038E+05  0.39447018E-14
0.10742901E+05  0.37868516E-14
0.11233160E+05  0.36300522E-14
0.11745793E+05  0.34745834E-14
0.12281820E+05  0.33207548E-14
0.12842310E+05  0.31687151E-14
0.13428377E+05  0.30187997E-14
0.14041190E+05  0.28712730E-14
0.14681969E+05  0.27264045E-14
